FECHA,N° DOC,TERCERO,DESCRIPCIÓN,ORIGEN,DEBITO,CREDITO,SALDO
03/28/2024,39642,,,Terminal SE - Transferencia TPV,2578074,0,2578074
03/29/2024,40226,,,Terminal SE - Transferencia TPV,5306923,0,7884997
03/30/2024,40939,,,Terminal SE - Transferencia TPV,6822316,0,14707313
03/31/2024,41646,,,Terminal SE - Transferencia TPV,7770706,0,22478019
04/01/2024,41989,,,Terminal SE - Transferencia TPV,2788401,0,25266420
04/05/2024,42218,,,Terminal SE - Transferencia TPV,1018282,0,26284702
04/06/2024,42518,,,Terminal SE - Transferencia TPV,2086545,0,28371247
04/07/2024,43090,,,Terminal SE - Transferencia TPV,3035136,0,31406383
04/08/2024,43653,,,Terminal SE - Transferencia TPV,4077512,0,35483895
04/12/2024,43926,,,Terminal SE - Transferencia TPV,903654,0,36387549
04/13/2024,44284,,,Terminal SE - Transferencia TPV,2496326,0,38883875
04/14/2024,44805,,,Terminal SE - Transferencia TPV,3935749,0,42819624
04/15/2024,45456,,,Terminal SE - Transferencia TPV,5938208,0,48757832
04/18/2024,45661,,,Terminal SE - Transferencia TPV,398770,0,49156602
04/19/2024,45765,,,Terminal SE - Transferencia TPV,1302402,0,50459004
04/20/2024,46013,,,Terminal SE - Transferencia TPV,1922090,0,52381094
04/21/2024,46525,,,Terminal SE - Transferencia TPV,3017286,0,55398380
04/22/2024,47058,,,Terminal SE - Transferencia TPV,4603660,0,60002040
04/25/2024,47290,,,Terminal SE - Transferencia TPV,1344258,0,61346298
04/26/2024,47423,,,Terminal SE - Transferencia TPV,489645,0,61835943
04/27/2024,47762,,,Terminal SE - Transferencia TPV,2143922,0,63979865
04/28/2024,48287,,,Terminal SE - Transferencia TPV,4991751,0,68971616
04/29/2024,48712,,,Terminal SE - Transferencia TPV,2421171,0,71392787
05/02/2024,49313,,,Terminal SE - Transferencia TPV,5323324,0,74751809
05/03/2024,49433,,,Terminal SE - Transferencia TPV,456976,0,75208785
05/04/2024,49661,,,Terminal SE - Transferencia TPV,1668359,0,75943536
05/05/2024,50130,,,Terminal SE - Transferencia TPV,4049269,0,79992805
05/06/2024,50582,,,Terminal SE - Transferencia TPV,3062640,0,83055445
05/09/2024,50802,,,Terminal SE - Transferencia TPV,249742,0,83305187
05/10/2024,50996,,,Terminal SE - Transferencia TPV,1104420,0,84409607
05/11/2024,51253,,,Terminal SE - Transferencia TPV,1372333,0,85781940
05/12/2024,51809,,,Terminal SE - Transferencia TPV,3458296,0,89240236
05/13/2024,52306,,,Terminal SE - Transferencia TPV,4302201,0,93542437
05/14/2024,52892,,,Terminal SE - Transferencia TPV,6304632,0,99847069
05/16/2024,53157,,,Terminal SE - Transferencia TPV,1468515,0,101315584
05/17/2024,53313,,,Terminal SE - Transferencia TPV,827244,0,102142828
05/18/2024,53698,,,Terminal SE - Transferencia TPV,2155793,0,104298621
05/19/2024,54205,,,Terminal SE - Transferencia TPV,4539804,0,108838425
05/20/2024,54700,,,Terminal SE - Transferencia TPV,5223710,0,114062135
05/23/2024,55043,,,Terminal SE - Transferencia TPV,334963,0,114397098
05/24/2024,55219,,,Terminal SE - Transferencia TPV,926888,0,"114129056,83"
05/25/2024,55506,,,Terminal SE - Transferencia TPV,972617,0,"115101673,83"
05/26/2024,56023,,,Terminal SE - Transferencia TPV,3142692,0,"118244365,83"
05/27/2024,56544,,,Terminal SE - Transferencia TPV,4807720,0,"123052085,83"
05/30/2024,56662,,,Terminal SE - Transferencia TPV,194657,0,"123246742,83"
05/31/2024,56865,,,Terminal SE - Transferencia TPV,561418,0,"123808160,83"
