Numero,CUFE/CUDE
FPLS486,3a1ec96339af4b8302ef71df69ba95d1b3b00de7d3543b4c12c1a5884b45491f38d5616ca067b7cd6af1eebe23099984
FPLS477,b2da0ed0099bbe76a0ebb71410d7b49424c7f120e5b9ce5dd0ac2879dd62f9f4654c6923d3338d057ded6a068f3c98f3
FPLS471,8394c80d7bb428665d75ed4bc011bec4ea2f9586e1ca1ca51a3f12557ef4c4c996b91fb0a6e0a59150d5de1ff844e7f3
FPLS493,d042d2cb241f6e556274fd5bf50c531e66d413a985b8101899d74d8c6c75a49d0875031e4fc5d2220ad6cc3b4571fcee
FPSE359,de8fd104b7378f844f5467fa049b70200e407f3fec0368bcff300fa876c3671f613af6dd7bc755b5c4fbedc28f89fb9c
FPLS492,679029b4bd3ccd4a4259d88826324fb4330c25bcbe8697b0953e3fd650c4ee4b5d26d8908e17c02e4334b14e92b31a0f
FPLS491,66601898d1b95c67839d794df1448626d265aef31e0499ca746580098bb9050693960fe4b228cd61cbf3d757a87a6f3c
FPLS489,97008f4f4a7d595c6a736526beac3310d2473c20198263743a499026e2ee20e38a194e46f1e00b896fa6fec1c3443b6a
FPLS490,aa604289a5dab91494bbf5f3e0a3acba509aa7fc3db45628e45a8ead5fcbd50423c095eafeee475007c9f948e7102da0
FPSE358,92736f6eb9731d2e7673f3b2b0c4282438f36eca576bb45a9342cf72dcb86111a03333ad8c4fb4a7cf4e07b5af59f27d
FPSE355,3f8c4abea10d4f2c078082f951240b0536f27a435abfeb411be0a232206bf19050d3dfa708c3272ffa15e5e5439df934
FPLS485,5ab7e65b85bbd9b34d3b8947b81a30cfe92d55484a5ffc14dd46d84a49981fdc0176ead4fbe0af907d5814d377012345
FPSE353,423f6f34557e5a97faa5cf9117db0e7c07287bf4ad05062988edaaa587e15e5b6cc0cb96d9fd73c0ba4446d6c3b22121
FPSE351,5501d9f313365b80a2bf66ef12e1aa247308405c3f38a47e610eb715bc9c2fb498f5ad36e78c00dbc2711f7ff57c4744
FPSE352,bb9030b2ee50268bc247440fbd5a67347e3c6cc3e2799291d693b0f8b546cc1cf5708c6557625a3b3f01139d74da3563
FPSE354,a2ee63b0356802bb9181d144b8a041556b5fd1333b2d3deab2847c10e761595ea8b6b6f35edf2fe0730c7b84477b6630
FPSE356,72b3c2a8f912af991245ad11d02216946f968a50fa0c4ec6e6260f86eb8da4d6e5f9f79f766ae1149a90cea91c2fcad0
FPLS488,0c8cefaecea4efcf63b05f5ae461817b541b811052f1fdfd6d60ab8bd54ffa773a7dfa47114994d3607bd391e127581e
FPLS481,ca505f8605b29017ba15a3fbdc7d963fdccd7197dd18da61554b65812968df0f6779f6798e6cf920868286791a946717
FPLS480,7c9dbcad8cba2cddaa53d909577c941ae7257029eb16fac324634f7b665b3a88e904a1838684bf61bf8b6b7f32f10494
FPLS479,5bd55b95e6abf360404bc621009bee45d4ff0517bba33d718a1cb26ecd6859ffa99b1be122b8a7e0c99dc9d3338bc3d7
FPLS483,32a920a8e2a6b1484e9eab47989925b8c6251ba2eacebfdc7254cd19eadd8c145ed188fc4d7d9c5ae4b7fd4979ddb879
FPLS484,6c68e3300b1a29e18a5223ca1777f4483763796b7e2b44bd89c17576235e76060eac1aaccd6cc2d66cc61d5a5a71ad37
FPLS482,95d1d274c48ac146090505c50d7dbd23de164ae34ff4814a7aaf62a80b84543b978c8162d8bfcadd3e7d7f5258875073
FPLS478,3c3ac5175b3bab250a89a8f8311852fe6e04fa84323b2bf7876979c224d00b851090f2fae349d8850f857317d6a4567c
FPSE349,5d95c3317814ad1f4f081f9018005454d5d2fcde2eb58a71cdae9740eb45860865904b9e9b428a9b962ef9ea4cd506e2
FPLS476,b455958121bc46e868fa7639ccc7e45bb23ac56cf320ffc747fddc7c3604d8730f59f67161cc5af9da26239ec41eef05
FPLS474,66a2ffb9849d384f5774f3e83168cdd69251b384004107c813afe658becf293774f6a3aff455deef435a2fc0cdfd0a8a
FPLS475,6adde0e83d0cfc2deea367f7633ff8fa3b00ae210e6b4a8d1ec08989739750a85c856c036bc45cf3eb6c2385f7572a2a
FPSE346,663f0c517b85f2d663543136c143e9f9fc84ed986748e3875e7530e0b77b1c78dbb9380f0fa52b0a5c7870c649ef4a12
FPSE345,587c3ab60574a71a3c03464329ec62df6bda32b1c9a0f018e60fa9e4989d4098eeb901a0a2795d6c7dd26eef7c169f28
FPSE347,e626471e5daf8e021b07ecba93d37cac47bffa1f20851904f4a75e2d27b7d806d90531e21ba0456850b22c8c46bdc50a
FPSE348,387ed5a0e6588b331063ba78716afcabdbc46009cd2992c931c3fa13f9a71f0c4c041e8c5166f44d8cf4cadf628b7d22
FPSE360,5707d9b68c573bb9ee7e7d865620907ff986c1a98138085d8a80d6abd3df0da325ad13db8a99ad5a23b070f35685340a
